Nomes	CBRO	Referência (handbook of the bird of the world and BirdLife)		Arrumar
Crypturellus undulatus	Crypturellus undulatus	Crypturellus undulatus		
Crypturellus undulatus vermiculatus	Crypturellus undulatus vermiculatus	Crypturellus undulatus vermiculatus		
Crypturellus variegatus	Crypturellus variegatus	Crypturellus variegatus		
Crypturellus zabele	Crypturellus zabele	Crypturellus noctivagus zabele		
Crypturellus noctivagus noctivagus	Crypturellus noctivagus			
Crypturellus noctivagus zabele	Crypturellus zabele			
Culicivora caudacuta	Culicivora caudacuta	Culicivora caudacuta		
Curaeus forbesi	Anumara forbesi	Anumara forbesi		
Curaeus forbesi	Anumara forbesi			
Cyanocorax cristatellus	Cyanocorax cristatellus	Cyanocorax cristatellus		
Cyanocorax cyanomelas	Cyanocorax cyanomelas	Cyanocorax cyanomelas		
Cyanocorax hafferi	Cyanocorax hafferi	Cyanocorax hafferi		
Cyanocorax hafferi	Cyanocorax hafferi			
Cyanoloxia brissonii sterea	Cyanoloxia brissonii sterea	Cyanoloxia brissonii sterea		
Cyanopsitta spixii	Cyanopsitta spixii	Cyanopsitta spixii		
Cyanopsitta spixii	Cyanopsitta spixii			
Cyphorhinusgriseolateralis	Cyphorhinus griseolateralis	Cyphorhinus arada griseolateralis		
Cypsnagra hirundinacea	Cypsnagra hirundinacea	Cypsnagra hirundinacea		
Dacnis nigripes	Dacnis nigripes	Dacnis nigripes		
Daption capense	Daption capense	Daption capense		
Daptrius americanus	Ibycter americanus	Ibycter americanus		
Deconychura longicauda zimmeri	Deconychura longicauda zimmeri			
Dendrexetastes rufigula paraensis	Dendrexetastes paraensis	Dendrexetastes rufigula paraensis		
Dendrexetastes rufigula  paraensis	Dendrexetastes paraensis	Dendrexetastes rufigula paraensis		
Dendrexetastes rufigula paraensis	Dendrexetastes paraensis			
Dendrocincia turdina	Dendrocincla turdina			
Dendrocincla merula badia	Dendrocincla merula badia	Dendrocincla merula badia		
Dendrocincla taunayi	Dendrocincla taunayi	Dendrocincla fuliginosa taunayi		
Dendrocincla turdina	Dendrocincla turdina	Dendrocincla turdina		
Dendrocincla merula badia	Dendrocincla merula badia			
Dendrocincla taunayi	Dendrocincla taunayi			
Dendrocolaptes certhia medius	Dendrocolaptes certhia	Dendrocolaptes certhia medius		
Dendrocolaptes medius	Dendrocolaptes medius	Dendrocolaptes certhia medius		
Dendrocolaptes retentus	Dendrocolaptes retentus	Dendrocolaptes certhia retentus		
Dendrocolaptes transfasciatus	Dendrocolaptes transfasciatus	Dendrocolaptes picumnus transfasciatus		
Dendrocolaptes medius	Dendrocolaptes medius			
Dendrocolaptes picumnus transfasciatus	Dendrocolaptes transfasciatus			
Dendrocolaptes retentus	Dendrocolaptes retentus			
Dendrocygna bicolor	Dendrocygna bicolor	Dendrocygna bicolor		
Diomedea dabbenena	Diomedea dabbenena	Diomedea dabbenena		
Diomedea epomophora	Diomedea epomophora	Diomedea epomophora		
Diomedea exulans	Diomedea exulans	Diomedea exulans		
Diomedea sanfordi	Diomedea sanfordi	Diomedea sanfordi		
Diomedea dabbenena	Diomedea dabbenena			
Diomedea epomophora	Diomedea epomophora			
Diomedea exulans	Diomedea exulans			
Diomedea sanfordi	Diomedea sanfordi			
Discosura langsdorffi	Discosura langsdorffi	Discosura langsdorffi		
Discosura langsdorffi langsdorffi	Discosura langsdorffi langsdorffi			
Discosuralangsdorffi langsdorffi	Discosura langsdorffi langsdorffi	Discosura langsdorffi langsdorffi		
Dixiphia pipra	Pseudopipra pipra	Pseudopipra pipra		
Dromococcyx pavoninus	Dromococcyx pavoninus	Dromococcyx pavoninus		
Dromococcyx phasianellus	Dromococcyx phasianellus	Dromococcyx phasianellus		
Drymophila genei	Drymophila genei	Drymophila genei		
Drymophila rubricollis	Drymophila rubricollis	Drymophila rubricollis		
Drymophila squamata	Drymophila squamata	Drymophila squamata		
Drymornis bridgesii	Drymornis bridgesii	Drymornis bridgesii		
Dryocopus galeatus	Celeus galeatus	Celeus galeatus		
Dryocopus galeatus	Celeus galeatus			
Dryocopus lineatus	Dryocopus lineatus			
Dysithamnus plumbeus	Dysithamnus plumbeus	Dysithamnus plumbeus		
Dysithamnus xanthopterus	Dysithamnus xanthopterus	Dysithamnus xanthopterus		
Dysithamnus plumbeus	Dysithamnus plumbeus			
Dysithamnusplumbeus	Dysithamnus plumbeus	Dysithamnus plumbeus		
Elaenia ridleyana	Elaenia ridleyana	Elaenia ridleyana		
Elaenia ridleyana	Elaenia ridleyana			
Eleoscytalopus indigoticus	Eleoscytalopus indigoticus	Eleoscytalopus indigoticus		
Eleoscytalopus psychopompus	Eleoscytalopus psychopompus	Eleoscytalopus psychopompus		
Eleoscytalopus psychopompus	Eleoscytalopus psychopompus			
Eleoscytalopuspsychopompus	Eleoscytalopus psychopompus	Eleoscytalopus psychopompus		
Eleothreptus anomalus	Hydropsalis anomala	Eleothreptus anomalus		
Epinecrophylladentei	Epinecrophylla dentei	Epinecrophylla amazonica dentei		
Eudocimus ruber	Eudocimus ruber	Eudocimus ruber		
Euphonia chalybea	Euphonia chalybea	Euphonia chalybea		
Euphonia violacea	Euphonia violacea			
Euscarthmus rufomarginatus	Euscarthmus rufomarginatus	Euscarthmus rufomarginatus		
Falco deiroleucus	Falco deiroleucus	Falco deiroleucus		
Falco rufigularis ophryophanes	Falco rufigularis ophryophanes	Falco rufigularis ophryophanes		
Falco refigularis	Falco rufigularis			
Formicarius colma	Formicarius colma	Formicarius colma		
Formicarius colma ruficeps	Formicarius colma ruficeps	Formicarius colma ruficeps		
Formicivora acutirostris	Formicivora acutirostris	Formicivora acutirostris		
Formicivora erythronotos	Formicivora erythronotos	Formicivora erythronotos		
Formicivora erythronotus	Formicivora erythronotos	Formicivora erythronotos	Provável erro de digitação	
Formicivora grantsaui	Formicivora grantsaui	Formicivora grantsaui		
Formicivora littoralis	Formicivora littoralis	Formicivora serrana		
Formicivora rufa	Formicivora rufa	Formicivora rufa		
Formicivora erythronotos	Formicivora erythronotos			
Formicivora grantsaui	Formicivora grantsaui			
Formicivora littoralis	Formicivora littoralis			
Formicivora paludicola	Formicivora paludicola			
Formicivoraacutirostris	Formicivora acutirostris	Formicivora acutirostris		
Formicivoragrantsaui	Formicivora grantsaui	Formicivora grantsaui		
Formicivoralittoralis	Formicivora littoralis	Formicivora littoralis		
Formicivorapaludicola	Formicivora paludicola	Formicivora paludicola		
Fregata ariel	Fregata trinitatis	Fregata ariel		
Fregata minor	Fregata minor	Fregata minor		
Fregata trinitatis	Fregata trinitatis	Fregata ariel trinitatis		
Fregata ariel	Fregata trinitatis			
Fregata minor	Fregata minor			
Fulica rufifrons	Fulica rufifrons	Fulica rufifrons		
Fulmarus glacialoides	Fulmarus glacialoides	Fulmarus glacialoides		
Galbula ruficauda	Galbula ruficauda	Galbula ruficauda		
Gallinago undulata	Gallinago undulata	Gallinago undulata		
Gallinago undulata gigantea	Gallinago undulata gigantea	Gallinago undulata gigantea		
Gallinula melanops	Porphyriops melanops	Porphyriops melanops		
Gelochelidon nilotica	Gelochelidon nilotica			
Geositta cunicularia	Geositta cunicularia	Geositta cunicularia		
Geositta poeciloptera	Geositta poeciloptera	Geositta poeciloptera		
Geositta poeciloptera	Geositta poeciloptera			
Geotrygon violacea	Geotrygon violacea	Geotrygon violacea		
Geotrygon violacea violacea	Geotrygon violacea violacea	Geotrygon violacea violacea		
Geranoaetus melanoleucus	Geranoaetus melanoleucus	Geranoaetus melanoleucus		
Glaucidium minutissimum	Glaucidium minutissimum	Glaucidium minutissimum		
Glaucidium mooreorum	Glaucidium mooreorum	Glaucidium mooreorum		
Glaucis dohrnii	Glaucis dohrnii	Glaucis dohrnii		
Glaucis dohrnii	Glaucis dohrnii			
Glyphorinchus spirurus	Glyphorynchus spirurus	Glyphorynchus spirurus	Erro digitação	
